# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.
#
#   WARNING: Do not use this file as a template for your translation! Always use UK English (located here: https://github.com/OpenRCT2/OpenRCT2/blob/develop/data/language/en-GB.txt ).
#
# Vanilla strings. Only change strings that differ from UK English!
STR_0007    :Miniature Railroad
STR_6116    :Wide roller coaster trains glide along smooth steel track, traveling through a variety of inversions
STR_6166    :Synchronizes each frame displayed to the monitor’s refresh rate, preventing screen tearing.
STR_6274    :Can’t set color scheme…
STR_6307    :Color scheme: {BLACK}{STRINGID}
STR_6328    :With this option enabled, giant screenshots will have a transparent background instead of the default black color.
STR_6501    :Random color

#############
# Scenarios #
#############

## RCT Original
<Forest Frontiers>
STR_SCNR    :Forest Frontiers
STR_PARK    :Forest Frontiers
STR_DTLS    :Deep in the forest, build a thriving theme park in a large cleared area

<Dynamite Dunes>
STR_SCNR    :Dynamite Dunes
STR_PARK    :Dynamite Dunes
STR_DTLS    :Built in the middle of the desert, this theme park contains just one roller coaster but has space for expansion

<Leafy Lake>
STR_SCNR    :Leafy Lake
STR_PARK    :Leafy Lake
STR_DTLS    :Starting from scratch, build a theme park around a large lake

<Diamond Heights>
STR_SCNR    :Diamond Heights
STR_PARK    :Diamond Heights
STR_DTLS    :Diamond Heights is already a successful theme park with great rides - develop it to double its value

<Evergreen Gardens>
STR_SCNR    :Evergreen Gardens
STR_PARK    :Evergreen Gardens
STR_DTLS    :Convert the beautiful Evergreen Gardens into a thriving theme park

<Bumbly Beach>
STR_SCNR    :Bumbly Beach
STR_PARK    :Bumbly Beach
STR_DTLS    :Develop Bumbly Beach’s small amusement park into a thriving theme park

<Trinity Islands>
STR_SCNR    :Trinity Islands
STR_PARK    :Trinity Islands
STR_DTLS    :Several islands form the basis for this new park

<Katie's Dreamland>
STR_SCNR    :Katie’s World
STR_PARK    :Katie’s World
STR_DTLS    :A small theme park with a few rides and room for expansion - Your aim is to double the park value

<Pokey Park>
STR_SCNR    :Dinky Park
STR_PARK    :Dinky Park
STR_DTLS    :A small, cramped amusement park which requires major expansion

<White Water Park>
STR_SCNR    :Aqua Park
STR_PARK    :Aqua Park
STR_DTLS    :A park with some excellent water-based rides requires expansion

<Millennium Mines>
STR_SCNR    :Millennium Mines
STR_PARK    :Millennium Mines
STR_DTLS    :Convert a large abandoned mine from a tourist attraction into a theme park

<Karts & Coasters>
STR_SCNR    :Karts & Coasters
STR_PARK    :Karts & Coasters
STR_DTLS    :A large park hidden in the forest, with only go-kart tracks and wooden roller coasters

<Mel's World>
STR_SCNR    :Mel’s World
STR_PARK    :Mel’s World
STR_DTLS    :This theme park has some well-designed modern rides, but plenty of space for expansion

<Mystic Mountain>
STR_SCNR    :Mothball Mountain
STR_PARK    :Mothball Mountain
STR_DTLS    :In the hilly forests of Mothball Mountain, build a theme park from scratch

<Pacific Pyramids>
STR_SCNR    :Pacific Pyramids
STR_PARK    :Pacific Pyramids
STR_DTLS    :Convert the Egyptian Ruins tourist attraction into a thriving theme park

<Crumbly Woods>
STR_SCNR    :Crumbly Woods
STR_PARK    :Crumbly Woods
STR_DTLS    :A large park with well-designed but rather old rides - Replace the old rides or add new rides to make the park more popular

<Paradise Pier>
STR_SCNR    :Big Pier
STR_PARK    :Big Pier
STR_DTLS    :Convert this sleepy town’s pier into a thriving attraction

<Lightning Peaks>
STR_SCNR    :Lightning Peaks
STR_PARK    :Lightning Peaks
STR_DTLS    :The beautiful mountains of Lightning Peaks are popular with walkers and sightseers - Use the available land to attract a new thrill-seeking clientele

<Ivory Towers>
STR_SCNR    :Ivory Towers
STR_PARK    :Ivory Towers
STR_DTLS    :A well-established park, which has a few problems

<Rainbow Valley>
STR_SCNR    :Rainbow Valley
STR_PARK    :Rainbow Valley
STR_DTLS    :Rainbow Valley’s local authority won’t allow any landscape changes or large tree removal, but you must develop the area into a large theme park

<Thunder Rock>
STR_SCNR    :Thunder Rock
STR_PARK    :Thunder Rock
STR_DTLS    :Thunder Rock stands in the middle of a desert and attracts many tourists - Use the available space to build rides to attract more people

<Mega Park>
STR_SCNR    :Mega Park
STR_PARK    :Mega Park
STR_DTLS    :Just for fun!

## Corkscrew Follies
<Whispering Cliffs>
STR_SCNR    :Whispering Cliffs
STR_PARK    :Whispering Cliffs
STR_DTLS    :Develop the seaside cliffs into a thriving amusement park

<Three Monkeys Park>
STR_SCNR    :Three Monkeys Park
STR_PARK    :Three Monkeys Park
STR_DTLS    :Central to this large developing park is a giant triple-track racing/dueling steel coaster

<Canary Mines>
STR_SCNR    :Canary Mines
STR_PARK    :Canary Mines
STR_DTLS    :This abandoned mine already has the makings of a tourist attraction with its minature railway and a pair of vertical drop roller coasters

<Barony Bridge>
STR_SCNR    :Barony Bridge
STR_PARK    :Barony Bridge
STR_DTLS    :An old redundant bridge is yours to develop into an amusement park

<Funtopia>
STR_SCNR    :Funtopia
STR_PARK    :Funtopia
STR_DTLS    :Covering land both sides of a highway, this park has several rides already operating

<Haunted Harbour>
STR_SCNR    :Haunted Harbor
STR_PARK    :Haunted Harbor
STR_DTLS    :The local authority has agreed to sell nearby land cheaply to this small seaside park, on the condition that certain rides are preserved

<Fun Fortress>
STR_SCNR    :Fun Fortress
STR_PARK    :Fun Fortress
STR_DTLS    :This castle is all yours to turn into a theme park

<Future World>
STR_SCNR    :Future World
STR_PARK    :Future World
STR_DTLS    :This futuristic park has plenty of space for new rides on its alien landscape

<Gentle Glen>
STR_SCNR    :Gentle Glen
STR_PARK    :Gentle Glen
STR_DTLS    :The local population prefer gentle and relaxing rides, so it is your job to expand this park to suit their tastes

<Jolly Jungle>
STR_SCNR    :Jolly Jungle
STR_PARK    :Jolly Jungle
STR_DTLS    :Deep in the jungle lies a large area of land ready to be turned into a theme park

<Hydro Hills>
STR_SCNR    :Hydro Hills
STR_PARK    :Hydro Hills
STR_DTLS    :A series of stepped lakes form the basis for this new park

<Sprightly Park>
STR_SCNR    :Sprightly Park
STR_PARK    :Sprightly Park
STR_DTLS    :This elderly park has many historical rides but is badly in debt

<Magic Quarters>
STR_SCNR    :Magic Quarters
STR_PARK    :Magic Quarters
STR_DTLS    :A large area of land has been cleared and partially themed ready for you to develop into a landscaped theme park

<Fruit Farm>
STR_SCNR    :Fruit Farm
STR_PARK    :Fruit Farm
STR_DTLS    :A thriving fruit farm has built a railroad to boost its income, your job is to develop it into a full-blown amusement park

<Butterfly Dam>
STR_SCNR    :Butterfly Dam
STR_PARK    :Butterfly Dam
STR_DTLS    :The area around a dam is available for you to develop into an amusement park

<Coaster Canyon>
STR_SCNR    :Coaster Canyon
STR_PARK    :Coaster Canyon
STR_DTLS    :A vast canyon is yours to turn into a theme park

<Thunderstorm Park>
STR_SCNR    :Thunderstorm Park
STR_PARK    :Thunderstorm Park
STR_DTLS    :The weather is so wet here that a giant pyramid has been built to allow some rides to be built under cover

<Harmonic Hills>
STR_SCNR    :Harmonic Hills
STR_PARK    :Harmonic Hills
STR_DTLS    :The local authority won’t allow you to build above tree height in this park

<Roman Village>
STR_SCNR    :Roman Village
STR_PARK    :Roman Village
STR_DTLS    :Develop this Roman-themed park by adding rides and roller coasters

<Swamp Cove>
STR_SCNR    :Swamp Cove
STR_PARK    :Swamp Cove
STR_DTLS    :Built partly on a series of small islands, this park already has a pair of large roller coasters as its centerpiece

<Adrenaline Heights>
STR_SCNR    :Adrenaline Heights
STR_PARK    :Adrenaline Heights
STR_DTLS    :Build a park to appeal to the high-intensity thrill-seeking local people

<Utopia Park>
STR_SCNR    :Utopia Park
STR_PARK    :Utopia
STR_DTLS    :An oasis in the middle of the desert provides an unusual opportunity to build an amusement park

<Rotting Heights>
STR_SCNR    :Rotting Heights
STR_PARK    :Rotting Heights
STR_DTLS    :Overgrown and dilapidated, can you resurrect this once-great amusement park?

<Fiasco Forest>
STR_SCNR    :Fiasco Forest
STR_PARK    :Fiasco Forest
STR_DTLS    :Full of badly designed and dangerous rides, you have a very limited budget and time to fix the problems and turn the park around

<Pickle Park>
STR_SCNR    :Pickle Park
STR_PARK    :Pickle Park
STR_DTLS    :The local authority will not allow any kind of advertising or promotion, so this park must succeed by reputation only

<Giggle Downs>
STR_SCNR    :Giggle Downs
STR_PARK    :Giggle Downs
STR_DTLS    :A four lane steeplechase ride is the centerpiece of this expanding park

<Mineral Park>
STR_SCNR    :Mineral Park
STR_PARK    :Mineral Park
STR_DTLS    :Turn this abandoned stone quarry into a place to attract thrill-seeking tourists

<Coaster Crazy>
STR_SCNR    :Coaster Crazy
STR_PARK    :Coaster Crazy
STR_DTLS    :You have limited funds but unlimited time to turn this mountainside area into a vast roller coaster park

<Urban Park>
STR_SCNR    :Urban Park
STR_PARK    :Urban Park
STR_DTLS    :A tiny park has done a deal with the nearby town to allow expansion through the town itself

<Geoffrey Gardens>
STR_SCNR    :Geoffrey Gardens
STR_PARK    :Geoffrey Gardens
STR_DTLS    :A large garden park needs turning into a thriving theme park

## Loopy Landscapes
<Iceberg Islands>
STR_SCNR    :Iceberg Islands
STR_PARK    :Iceberg Islands
STR_DTLS    :A collection of icebergs make a cold setting for this ambitious theme park

<Volcania>
STR_SCNR    :Volcania
STR_PARK    :Volcania
STR_DTLS    :A dormant volcano is the setting of this coaster-building challenge

<Arid Heights>
STR_SCNR    :Arid Heights
STR_PARK    :Arid Heights
STR_DTLS    :Free of any financial limits, your challenge is to develop this desert park while keeping the guests happy

<Razor Rocks>
STR_SCNR    :Razor Rocks
STR_PARK    :Razor Rocks
STR_DTLS    :Your task is to build a massive coaster-filled park in amongst Razor Rocks

<Crater Lake>
STR_SCNR    :Crater Lake
STR_PARK    :Crater Lake
STR_DTLS    :A large lake in an ancient crater is the setting for this park

<Vertigo Views>
STR_SCNR    :Vertigo Views
STR_PARK    :Vertigo Views
STR_DTLS    :This large park already has an excellent hyper-coaster, but your task is to massively increase its profit

<Paradise Pier 2>
STR_SCNR    :Big Pier 2
STR_PARK    :Big Pier 2
STR_DTLS    :Big Pier has expanded its network of walkways over the sea, and your task is to expand the park to use the extra space

<Dragon's Cove>
STR_SCNR    :Dragon’s Cove
STR_PARK    :Dragon’s Cove
STR_DTLS    :This sea-side cove is the setting for this coaster-building challenge

<Good Knight Park>
STR_SCNR    :Good Knight Park
STR_PARK    :Good Knight Park
STR_DTLS    :A castle with a pair of roller coasters needs developing into a larger theme park

<Wacky Warren>
STR_SCNR    :Wacky Warren
STR_PARK    :Wacky Warren
STR_DTLS    :A park which has much of its footpaths and coasters underground

<Grand Glacier>
STR_SCNR    :Grand Glacier
STR_PARK    :Grand Glacier
STR_DTLS    :A glacier-filled valley is yours to develop into a theme park

<Crazy Craters>
STR_SCNR    :Crazy Craters
STR_PARK    :Crazy Craters
STR_DTLS    :In a far-off world where money is not needed, you must build an entertainment center to keep the people happy

<Dusty Desert>
STR_SCNR    :Dusty Desert
STR_PARK    :Dusty Desert
STR_DTLS    :Five coasters require completion in this desert park

<Woodworm Park>
STR_SCNR    :Woodworm Park
STR_PARK    :Woodworm Park
STR_DTLS    :This historical park is only allowed to build older-styled rides

<Icarus Park>
STR_SCNR    :Icarus Park
STR_PARK    :Icarus Park
STR_DTLS    :Develop this alien park to maximize its profit

<Sunny Swamps>
STR_SCNR    :Sunny Swamps
STR_PARK    :Sunny Swamps
STR_DTLS    :This well-themed amusement park already has several rides, but has plenty of space for expansion

<Frightmare Hills>
STR_SCNR    :Frightmare Hills
STR_PARK    :Frightmare Hills
STR_DTLS    :A scary park with a giant centerpiece coaster

<Thunder Rocks>
STR_SCNR    :Thunder Rocks
STR_PARK    :Thunder Rocks
STR_DTLS    :Two large hunks of rock stick out of the sand, upon which the beginnings of a theme park are constructed

<Octagon Park>
STR_SCNR    :Octagon Park
STR_PARK    :Octagon Park
STR_DTLS    :In this large park you must design and build ten large coasters

<Pleasure Island>
STR_SCNR    :Pleasure Island
STR_PARK    :Pleasure Island
STR_DTLS    :A long thin island makes a challenging setting to build a selection of coasters

<Icicle Worlds>
STR_SCNR    :Icicle Worlds
STR_PARK    :Icicle Worlds
STR_DTLS    :An icy landscape needs turning into a thriving theme park

<Southern Sands>
STR_SCNR    :Southern Sands
STR_PARK    :Southern Sands
STR_DTLS    :A desert park with some cleverly designed coasters is yours to expand

<Tiny Towers>
STR_SCNR    :Tiny Towers
STR_PARK    :Tiny Towers
STR_DTLS    :In this tiny park you must finish building the five existing coasters

<Nevermore Park>
STR_SCNR    :Nevermore Park
STR_PARK    :Nevermore Park
STR_DTLS    :A large park with a novel transportation system around its edge

<Pacifica>
STR_SCNR    :Pacifica
STR_PARK    :Pacifica
STR_DTLS    :This large island is all yours to develop as an amusement park

<Urban Jungle>
STR_SCNR    :Urban Jungle
STR_PARK    :Urban Jungle
STR_DTLS    :A giant abandoned skyscraper is a unique opportunity for a theme park developer

<Terror Town>
STR_SCNR    :Terror Town
STR_PARK    :Terror Town
STR_DTLS    :This urban area is all yours to develop into an amusement park

<Megaworld Park>
STR_SCNR    :Megaworld Park
STR_PARK    :Megaworld Park
STR_DTLS    :A giant park already packed full of rides needs improving

<Venus Ponds>
STR_SCNR    :Venus Ponds
STR_PARK    :Venus Ponds
STR_DTLS    :On a far-away planet this area of land needs turning into a theme park

<Micro Park>
STR_SCNR    :Micro Park
STR_PARK    :Micro Park
STR_DTLS    :Try to create the world’s smallest profitable park

## Real Parks from RCT1
# None of them had details
<Alton Towers>
STR_SCNR    :Alton Towers
STR_PARK    :Alton Towers
STR_DTLS    :

<Heide-Park>
STR_SCNR    :Heide-Park
STR_PARK    :Heide-Park
STR_DTLS    :

<Blackpool Pleasure Beach>
STR_SCNR    :Blackpool Pleasure Beach
STR_PARK    :Blackpool Pleasure Beach
STR_DTLS    :

## Misc parks from RCT1
# Had no details
<Fort Anachronism>
STR_SCNR    :Fort Anachronism
STR_PARK    :Fort Anachronism
STR_DTLS    :

###############################################################################
## RCT2 Scenarios
###############################################################################
<Alpine Adventures>
STR_SCNR    :Alpine Adventures
STR_PARK    :Alpine Adventures
STR_DTLS    :Convert a small mountain ski resort into a snow-themed amusement park

<Amity Airfield>
STR_SCNR    :Amity Airfield
STR_PARK    :Amity Airfield
STR_DTLS    :Build a flying-themed amusement park in this abandoned airport

<Botany Breakers>
STR_SCNR    :Botany Breakers
STR_PARK    :Botany Breakers
STR_DTLS    :Your challenge is to build a high-profit park on this paradise island

<Build your own Six Flags Belgium>
STR_SCNR    :Build your own Six Flags Belgium
STR_PARK    :Six Flags Belgium
STR_DTLS    :Build your own version of this European Six Flags park

<Build your own Six Flags Great Adventure>
STR_SCNR    :Build your own Six Flags Great Adventure
STR_PARK    :Six Flags Great Adventure
STR_DTLS    :Use your design skills to recreate this Six Flags park

<Build your own Six Flags Holland>
STR_SCNR    :Build your own Six Flags Holland
STR_PARK    :Six Flags Holland
STR_DTLS    :Build this European Six Flags park the way you want to

<Build your own Six Flags Magic Mountain>
STR_SCNR    :Build your own Six Flags Magic Mountain
STR_PARK    :Six Flags Magic Mountain
STR_DTLS    :Create your own version of this massive Six Flags park

<Build your own Six Flags over Texas>
STR_SCNR    :Build your own Six Flags over Texas
STR_PARK    :Six Flags over Texas
STR_DTLS    :Starting from scratch, build the rides in this Six Flags park

<Build your own Six Flags Park>
STR_SCNR    :Build your own Six Flags Park
STR_PARK    :Six Flags
STR_DTLS    :Build your own design of Six Flags park - Either build rides from other Six Flags parks or design and build your own rides

<Bumbly Bazaar>
STR_SCNR    :Bumbly Bazaar
STR_PARK    :Bumbly Bazaar
STR_DTLS    :Starting with a small market bazaar, your challenge is to increase the profit from shops and stalls by building rides and roller coasters to attract more customers

<Crazy Castle>
STR_SCNR    :Crazy Castle
STR_PARK    :Crazy Castle
STR_DTLS    :You have inherited a large castle - Your job is to convert it into a small theme park.

<Dusty Greens>
STR_SCNR    :Dusty Greens
STR_PARK    :Dusty Greens
STR_DTLS    :Situated near a highway junction in the desert, Dusty Greens is an opportunity to develop a small golf resort into a thriving theme park

<Electric Fields>
STR_SCNR    :Electric Fields
STR_PARK    :Electric Fields
STR_DTLS    :You have inherited a small farm, and your challenge is to build a small theme park amongst the fields and farm buildings

<Extreme Heights>
STR_SCNR    :Extreme Heights
STR_PARK    :Extreme Heights
STR_DTLS    :Free of financial restrictions, your challenge is to expand this desert park to attract people seeking the ultimate thrills

<Factory Capers>
STR_SCNR    :Factory Capers
STR_PARK    :Factory Capers
STR_DTLS    :An abandoned factory complex is an opportunity to build a mechanical-themed amusement park

<Fungus Woods>
STR_SCNR    :Fungus Woods
STR_PARK    :Fungus Woods
STR_DTLS    :Restricted to only older-style wooden rides, your challenge is to build a thriving theme park in Fungus Woods

<Ghost Town>
STR_SCNR    :Ghost Town
STR_PARK    :Ghost Town
STR_DTLS    :Hired by a large amusement park chain, your task is to build them a giant roller coaster park around an abandoned mining town

<Gravity Gardens>
STR_SCNR    :Gravity Gardens
STR_PARK    :Gravity Gardens
STR_DTLS    :Your challenge is to build a roller coaster park in the beautiful Gravity Gardens - No other rides, just roller coasters!

<Infernal Views>
STR_SCNR    :Infernal Views
STR_PARK    :Infernal Views
STR_DTLS    :A park nestled precariously on lava rock with streams of magma

<Lucky Lake>
STR_SCNR    :Lucky Lake
STR_PARK    :Lucky Lake
STR_DTLS    :With unlimited funds but a challenging lake location, this park will be a challenge to expand and manage

<Rainbow Summit>
STR_SCNR    :Rainbow Summit
STR_PARK    :Rainbow Summit
STR_DTLS    :Built on a hillside, this park is forbidden from building anything tall. Can you expand the park and make it successful?

<Six Flags Belgium>
STR_SCNR    :Six Flags Belgium
STR_PARK    :Six Flags Belgium
STR_DTLS    :Try your hand at running and improving this Six Flags park

<Six Flags Great Adventure>
STR_SCNR    :Six Flags Great Adventure
STR_PARK    :Six Flags Great Adventure
STR_DTLS    :Build the missing Six Flags rides, or create your own designs to improve the park! But don’t forget your ultimate aim - To attract more guests to the park!

<Six Flags Holland>
STR_SCNR    :Six Flags Holland
STR_PARK    :Six Flags Holland
STR_DTLS    :Try your hand at running and improving this Six Flags park

<Six Flags Magic Mountain>
STR_SCNR    :Six Flags Magic Mountain
STR_PARK    :Six Flags Magic Mountain
STR_DTLS    :Build the missing Six Flags rides, or create your own designs to improve the park! But don’t forget your ultimate aim - To repay your loan while keeping the park value up!

<Six Flags over Texas>
STR_SCNR    :Six Flags over Texas
STR_PARK    :Six Flags over Texas
STR_DTLS    :Build the missing Six Flags rides, or create your own designs to improve the park! But don’t forget your ultimate aim - To attract more guests to the park!

###############################################################################
## Wacky Worlds Scenarios
###############################################################################
<Africa - African Diamond Mine>
STR_SCNR    :Africa - African Diamond Mine
STR_PARK    :Mines of Africa
STR_DTLS    :You inherited a disused diamond mine, and find a valuable diamond. You decide to invest that money to build a world-famous theme park.

<Africa - Oasis>
STR_SCNR    :Africa - Oasis
STR_PARK    :Mirage Madness
STR_DTLS    :A desert Oasis has been discovered and would provide a beautiful location for a park. Transport to the oasis has been provided.

<Africa - Victoria Falls>
STR_SCNR    :Africa - Victoria Falls
STR_PARK    :Over The Edge
STR_DTLS    :A dam has been built offering abundant, cheap hydroelectric power with which to run a park. You need to reach a high park value to help repay the loan for the dam.

<Antarctic - Ecological Salvage>
STR_SCNR    :Antarctic - Ecological Salvage
STR_PARK    :Icy Adventures
STR_DTLS    :The environment agency has turned to you to transform an old oil refinery ecological eyesore into a top tourist attraction. Land is cheap but loan interest is high. You can sell the old buildings for salvage.

<Asia - Great Wall of China Tourism Enhancement>
